Data,Valor,Identificador,Descrição
07/07/2026,-27.44,6f2c33330000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
07/07/2026,-25.47,6f2c36360000-0000-4000-8000-788041820403,Compra no débito - UBER *TRIP
08/07/2026,-1500.00,6f2c21210000-0000-4000-8000-788041820403,Pagamento de boleto efetuado - IMOBILIARIA CENTRO
12/07/2026,-87.06,6f2c29290000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
15/07/2026,-39.90,6f2c22220000-0000-4000-8000-788041820403,Compra no débito - NETFLIX.COM
15/07/2026,-21.90,6f2c23230000-0000-4000-8000-788041820403,Compra no débito - SPOTIFY
16/07/2026,-24.19,6f2c34340000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
17/07/2026,-94.59,6f2c27270000-0000-4000-8000-788041820403,Compra no débito - PADARIA REAL
19/07/2026,-78.57,6f2c30300000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
20/07/2026,-91.68,6f2c24240000-0000-4000-8000-788041820403,Compra no débito - PADARIA REAL
20/07/2026,-153.73,6f2c39390000-0000-4000-8000-788041820403,Compra no débito - CINEMARK
22/07/2026,-74.18,6f2c31310000-0000-4000-8000-788041820403,Compra no débito - IFOOD *PEDIDO
23/07/2026,-32.88,6f2c37370000-0000-4000-8000-788041820403,Compra no débito - UBER *TRIP
24/07/2026,-15.68,6f2c38380000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
26/07/2026,-234.17,6f2c25250000-0000-4000-8000-788041820403,Compra no débito - HORTIFRUTI
03/08/2026,-88.49,6f2c45450000-0000-4000-8000-788041820403,Compra no débito - HORTIFRUTI
04/08/2026,-109.51,6f2c57570000-0000-4000-8000-788041820403,Compra no débito - CINEMARK
05/08/2026,6480.00,6f2c40400000-0000-4000-8000-788041820403,Transferência recebida pelo Pix - PAGADORIA XYZ LTDA
06/08/2026,-105.78,6f2c58580000-0000-4000-8000-788041820403,Compra no débito - LIVRARIA CULTURA
07/08/2026,-58.23,6f2c49490000-0000-4000-8000-788041820403,Compra no débito - IFOOD *PEDIDO
08/08/2026,-1500.00,6f2c41410000-0000-4000-8000-788041820403,Pagamento de boleto efetuado - IMOBILIARIA CENTRO
09/08/2026,-125.13,6f2c46460000-0000-4000-8000-788041820403,Compra no débito - HORTIFRUTI
10/08/2026,-38.13,6f2c56560000-0000-4000-8000-788041820403,Compra no débito - POSTO IPIRANGA
12/08/2026,-39.53,6f2c51510000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
12/08/2026,-22.12,6f2c53530000-0000-4000-8000-788041820403,Compra no débito - 99 *POP
14/08/2026,-176.42,6f2c44440000-0000-4000-8000-788041820403,Compra no débito - HORTIFRUTI
14/08/2026,-43.03,6f2c55550000-0000-4000-8000-788041820403,Compra no débito - 99 *POP
14/08/2026,137.74,6f2c60600000-0000-4000-8000-788041820403,Transferência recebida pelo Pix - CICLANO SOUZA
15/08/2026,-39.90,6f2c42420000-0000-4000-8000-788041820403,Compra no débito - NETFLIX.COM
15/08/2026,-21.90,6f2c43430000-0000-4000-8000-788041820403,Compra no débito - SPOTIFY
16/08/2026,-29.31,6f2c50500000-0000-4000-8000-788041820403,Compra no débito - CAFETERIA GRAO
18/08/2026,-34.52,6f2c54540000-0000-4000-8000-788041820403,Compra no débito - UBER *TRIP
19/08/2026,-23.95,6f2c52520000-0000-4000-8000-788041820403,Compra no débito - UBER *TRIP
23/08/2026,-34.94,6f2c59590000-0000-4000-8000-788041820403,Compra no débito - DROGARIA SAO PAULO
26/08/2026,-137.09,6f2c47470000-0000-4000-8000-788041820403,Compra no débito - SUPERMERCADO SONDA
28/08/2026,-35.87,6f2c48480000-0000-4000-8000-788041820403,Compra no débito - RESTAURANTE PRATO CHEIO
